district,Population,Inflow
Nagaon,2823768,3049
Dhubri,1949258,1633
Sonitpur,1924110,3501
Cachar,1736617,1352
Barpeta,1693622,1556
Kamrup,1517542,1582
Tinsukia,1327929,760
Dibrugarh,1326335,3481
Kamrup Metropolitan,1253938,840
Karimganj,1228686,1542
Sivasagar,1151050,802
Jorhat,1092256,1499
Golaghat,1066888,1011
Lakhimpur,1042137,2043
Goalpara,1008183,1043
Morigaon,957423,3330
Karbi Anglong,956313,755
Baksa,950075,1283
Darrang,928500,2336
Kokrajhar,887142,264
Udalguri,831668,914
Nalbari,771639,915
Bongaigaon,738804,639
Dhemaji,686133,1625
Hailakandi,659296,548
Chirang,482162,470
Dima Hasao,214102,387
