,date,ML,Low,High
Andhra Pradesh,2020-03-19,0.0,0.59,12.0
Andhra Pradesh,2020-03-20,1.0,0.0,6.3500000000000005
Andhra Pradesh,2020-03-21,1.0,0.0,5.08
Andhra Pradesh,2020-03-22,1.0,0.0,4.44
Andhra Pradesh,2020-03-23,1.0,0.0,4.03
Andhra Pradesh,2020-03-24,1.0,0.0,3.74
Andhra Pradesh,2020-03-25,1.62,0.0,3.87
Andhra Pradesh,2020-03-26,1.47,0.0,3.49
Andhra Pradesh,2020-03-27,1.8,0.01,3.61
Andhra Pradesh,2020-03-28,1.96,0.1,3.65
Andhra Pradesh,2020-03-29,2.99,1.27,4.5600000000000005
Andhra Pradesh,2020-03-30,3.11,1.82,4.3500000000000005
Andhra Pradesh,2020-03-31,2.85,1.83,3.83
Andhra Pradesh,2020-04-01,2.49,1.6500000000000001,3.31
Andhra Pradesh,2020-04-02,2.25,1.54,2.96
Andhra Pradesh,2020-04-03,2.0,1.36,2.61
Andhra Pradesh,2020-04-04,1.76,1.19,2.33
Andhra Pradesh,2020-04-05,1.51,0.98,2.05
Andhra Pradesh,2020-04-06,1.32,0.81,1.84
Andhra Pradesh,2020-04-07,1.1300000000000001,0.63,1.6400000000000001
Andhra Pradesh,2020-04-08,0.9500000000000001,0.45,1.47
Andhra Pradesh,2020-04-09,0.78,0.27,1.31
Andhra Pradesh,2020-04-10,0.65,0.14,1.19
Andhra Pradesh,2020-04-11,0.68,0.14,1.23
Andhra Pradesh,2020-04-12,0.72,0.15,1.28
Andhra Pradesh,2020-04-13,0.79,0.21,1.3900000000000001
Andhra Pradesh,2020-04-14,0.93,0.33,1.54
Andhra Pradesh,2020-04-15,1.07,0.48,1.69
Andhra Pradesh,2020-04-16,1.21,0.63,1.81
Andhra Pradesh,2020-04-17,1.26,0.6900000000000001,1.83
Andhra Pradesh,2020-04-18,1.18,0.61,1.72
Bihar,2020-03-22,0.0,0.59,12.0
Bihar,2020-03-23,1.0,0.0,6.3500000000000005
Bihar,2020-03-24,1.0,0.0,5.08
Bihar,2020-03-25,2.15,0.0,4.99
Bihar,2020-03-26,1.73,0.0,4.14
Bihar,2020-03-27,1.53,0.0,3.66
Bihar,2020-03-28,1.42,0.0,3.34
Bihar,2020-03-29,1.67,0.01,3.35
Bihar,2020-03-30,1.57,0.01,3.15
Bihar,2020-03-31,1.5,0.01,2.99
Bihar,2020-04-01,1.23,0.0,2.69
Bihar,2020-04-02,1.22,0.0,2.64
Bihar,2020-04-03,1.0,0.0,2.45
Bihar,2020-04-04,1.0,0.0,2.45
Bihar,2020-04-05,0.78,0.0,2.31
Bihar,2020-04-06,1.0,0.0,2.49
Bihar,2020-04-07,1.22,0.0,2.64
Bihar,2020-04-08,1.59,0.11,2.99
Bihar,2020-04-09,1.51,0.12,2.85
Bihar,2020-04-10,1.45,0.11,2.71
Bihar,2020-04-11,1.28,0.06,2.47
Bihar,2020-04-12,1.1300000000000001,0.02,2.2800000000000002
Bihar,2020-04-13,1.0,0.01,2.15
Bihar,2020-04-14,0.87,0.0,2.04
Bihar,2020-04-15,0.72,0.0,1.96
Bihar,2020-04-16,0.85,0.0,2.09
Bihar,2020-04-17,1.0,0.0,2.22
Bihar,2020-04-18,1.0,0.0,2.22
Chhattisgarh,2020-04-06,0.0,0.59,12.0
Chhattisgarh,2020-04-07,1.0,0.0,6.3500000000000005
Chhattisgarh,2020-04-08,2.62,0.0,5.8
Chhattisgarh,2020-04-09,2.62,0.01,4.95
Chhattisgarh,2020-04-10,2.43,0.14,4.39
Chhattisgarh,2020-04-11,1.96,0.1,3.65
Chhattisgarh,2020-04-12,1.5,0.01,2.99
Chhattisgarh,2020-04-13,1.22,0.0,2.64
Chhattisgarh,2020-04-14,1.21,0.01,2.61
Chhattisgarh,2020-04-15,0.79,0.0,2.2800000000000002
Chhattisgarh,2020-04-16,0.56,0.0,2.18
Chhattisgarh,2020-04-17,0.22,0.0,2.09
Chhattisgarh,2020-04-18,0.04,0.0,2.18
Delhi,2020-03-16,0.0,0.59,12.0
Delhi,2020-03-17,1.0,0.0,6.3500000000000005
Delhi,2020-03-18,2.62,0.0,5.8
Delhi,2020-03-19,2.62,0.01,4.95
Delhi,2020-03-20,2.43,0.14,4.39
Delhi,2020-03-21,1.96,0.1,3.65
Delhi,2020-03-22,1.73,0.11,3.2600000000000002
Delhi,2020-03-23,1.4000000000000001,0.01,2.75
Delhi,2020-03-24,1.19,0.0,2.5100000000000002
Delhi,2020-03-25,1.18,0.01,2.49
Delhi,2020-03-26,1.33,0.03,2.6
Delhi,2020-03-27,1.59,0.19,2.86
Delhi,2020-03-28,1.97,0.65,3.21
Delhi,2020-03-29,2.2,1.07,3.3000000000000003
Delhi,2020-03-30,2.73,1.83,3.63
Delhi,2020-03-31,2.74,2.0,3.44
Delhi,2020-04-01,2.54,1.95,3.14
Delhi,2020-04-02,2.2800000000000002,1.78,2.8000000000000003
Delhi,2020-04-03,1.96,1.51,2.41
Delhi,2020-04-04,1.68,1.28,2.11
Delhi,2020-04-05,1.48,1.09,1.87
Delhi,2020-04-06,1.25,0.88,1.6400000000000001
Delhi,2020-04-07,1.18,0.8200000000000001,1.56
Delhi,2020-04-08,1.2,0.84,1.56
Delhi,2020-04-09,1.24,0.89,1.59
Delhi,2020-04-10,1.27,0.9400000000000001,1.62
Delhi,2020-04-11,1.42,1.09,1.73
Delhi,2020-04-12,1.43,1.1300000000000001,1.74
Delhi,2020-04-13,1.44,1.16,1.74
Delhi,2020-04-14,1.32,1.05,1.61
Delhi,2020-04-15,1.18,0.91,1.45
Delhi,2020-04-16,1.07,0.81,1.35
Delhi,2020-04-17,1.04,0.78,1.32
Delhi,2020-04-18,0.88,0.61,1.1500000000000001
Gujarat,2020-03-17,0.0,0.59,12.0
Gujarat,2020-03-18,3.77,0.0,7.44
Gujarat,2020-03-19,3.04,0.05,5.59
Gujarat,2020-03-20,2.62,0.18,4.7
Gujarat,2020-03-21,2.35,0.33,4.17
Gujarat,2020-03-22,2.15,0.42,3.75
Gujarat,2020-03-23,1.85,0.33,3.24
Gujarat,2020-03-24,1.68,0.29,2.92
Gujarat,2020-03-25,1.47,0.22,2.65
Gujarat,2020-03-26,1.32,0.15,2.43
Gujarat,2020-03-27,1.2,0.09,2.25
Gujarat,2020-03-28,1.1,0.04,2.1
Gujarat,2020-03-29,1.09,0.06,2.11
Gujarat,2020-03-30,1.09,0.08,2.12
Gujarat,2020-03-31,1.09,0.06,2.08
Gujarat,2020-04-01,1.09,0.07,2.08
Gujarat,2020-04-02,1.17,0.14,2.19
Gujarat,2020-04-03,1.32,0.27,2.35
Gujarat,2020-04-04,1.51,0.47000000000000003,2.49
Gujarat,2020-04-05,1.57,0.6,2.5
Gujarat,2020-04-06,1.8,0.93,2.66
Gujarat,2020-04-07,2.09,1.33,2.84
Gujarat,2020-04-08,2.2800000000000002,1.6400000000000001,2.93
Gujarat,2020-04-09,2.21,1.67,2.7800000000000002
Gujarat,2020-04-10,2.0100000000000002,1.53,2.5100000000000002
Gujarat,2020-04-11,1.82,1.3800000000000001,2.2600000000000002
Gujarat,2020-04-12,1.68,1.28,2.09
Gujarat,2020-04-13,1.59,1.21,1.96
Gujarat,2020-04-14,1.54,1.2,1.9100000000000001
Gujarat,2020-04-15,1.57,1.25,1.9100000000000001
Gujarat,2020-04-16,1.59,1.29,1.9000000000000001
Gujarat,2020-04-17,1.62,1.35,1.92
Gujarat,2020-04-18,1.61,1.34,1.86
Haryana,2020-03-17,0.0,0.59,12.0
Haryana,2020-03-18,1.0,0.0,6.3500000000000005
Haryana,2020-03-19,1.0,0.0,5.08
Haryana,2020-03-20,1.0,0.0,4.44
Haryana,2020-03-21,1.8900000000000001,0.0,4.49
Haryana,2020-03-22,1.62,0.0,3.87
Haryana,2020-03-23,1.47,0.0,3.49
Haryana,2020-03-24,1.3800000000000001,0.0,3.22
Haryana,2020-03-25,1.35,0.0,3.12
Haryana,2020-03-26,1.32,0.0,3.0300000000000002
Haryana,2020-03-27,1.3,0.0,2.94
Haryana,2020-03-28,0.7000000000000001,0.0,2.5100000000000002
Haryana,2020-03-29,1.0,0.0,2.75
Haryana,2020-03-30,1.0,0.0,2.75
Haryana,2020-03-31,1.3,0.0,2.94
Haryana,2020-04-01,2.0100000000000002,0.26,3.62
Haryana,2020-04-02,2.15,0.51,3.62
Haryana,2020-04-03,2.27,0.86,3.59
Haryana,2020-04-04,2.33,1.11,3.43
Haryana,2020-04-05,2.19,1.17,3.17
Haryana,2020-04-06,1.97,1.06,2.83
